ENUMERACION	GRUPOS
1.4.2	Cuenta con extintores operativos en cantidad adecuada de acetato de potasio para ambientes que cuentan con freidora, producen humos y vapores de grasa. NTP 350.043:2011; RNE A-130 Art. 165
1.9.1	"Almacenaje no techado de productos peligrosos.Las mercancias deben ser almacenadas en funcion al tipo de riesgo, no juntando o almacenando productos que reaccionan entre si y/o que no son compatibles, de acuerdo a las guias NFPA 49 491, RNE- A-130- Art. 175, Art 176, Art 177, Art 178.NFPA 704.D.S.042 F.- Art. 1020
Almacenaje techado de productos peligrosos.Los almacenes mayores a 250 m2 destinados a carga y/o mercaderias y/o materiales peligrosos, deberan ser diseñados y protegidos segun NFPA 5000.Basados en el grado de peligrosidad y cantidad de mercancia almacenada.
RNE A.130 Art 188"
2.1	La cimentación o parte de ella no se encuentra expuesta, inestable en peligro de colapso como consecuencia de filtraciones de agua, erosión, socavamiento, otros. RNE E.050.
2.2.1	Las estructuras de concreto no presentan i) fisuras, grietas, rajaduras, deflexiones, pandeos, muros inclinados, varillas de acero expuestas a la intemperie sin recubrimiento en: columnas, vigas, losas de techos, etc., ii) deterioro por humedad producido por: filtraciones, de tanques y cisternas de almacenamiento de agua, de líquidos, tuberías rotas, lluvias, etc., otras fallas estructurales. RNE E.060
2.2.2	Las estructuras de la edificación (losas y vigas de techos, azoteas o losas en niveles intermedios), no presentan fisuras, grietas, rajaduras, pandeos, deflexiones, humedad, otros; como consecuencia de sobrecargas existentes producidas por: tanque elevado, equipos, antenas, panel publicitario, otros. RNE E.060, E.020
2.2.3	Los muros de contención en sótanos, en cercos y otros, no presentan fisuras, grietas, rajaduras, deflexiones, pandeos, inclinaciones, varillas de acero expuestas a la intemperie sin recubrimiento, deterioro por humedad producido por filtraciones de tanques y cisternas de almacenamiento de agua, de líquidos, tuberías rotas, lluvias, etc. y otros. RNE E.060
2.3.1	La edificación de albañilería cuenta con elementos de concreto armado de confinamiento, amarre y/o arriostramiento tales como: cimientos, columnas, vigas, losas. RNE E.070.
2.3.2	Los muros de albañilería no presentan daños: humedad, rajaduras, grietas, inclinaciones, otros. RNE E.070
2.4.1	Los muros de adobe no presentan fallas ni daños ocasionados por el deterioro y/o humedad (fisuras, grietas, inclinaciones). No es utilizado como muro de contención de suelos, materiales u otros que hagan que pierda su estabilidad. Sobre los muros de adobe no existen construcciones de albañilería o concreto. Los muros de adobe están protegidos de la lluvia en zonas lluviosas. RNE E.080, E.020
2.5.1	Las estructuras de madera, bambú, no presentan rajaduras, deflexiones, pandeos, deterioro por apolillamiento, humedad, otros. RNE E.010
2.5.2	Las estructuras (postes, columnas, vigas, viguetas, techos entablados, tijerales o cerchas, etc.), no presentan rajaduras, pandeos, deflexiones, como consecuencia de sobrecargas existentes producidas por: tanque elevado, equipos, antenas, panel publicitario, o como consecuencia de otros usos que impliquen cargas mayores a la que puede soportar la estructura. RNE E.010, E.020
2.5.3	La estructura de madera se encuentra alejada o aislada de fuentes de calor que podrían dañarla, o en caso de encontrarse próxima a fuentes de calor, se encuentra protegida con material incombustible y/o tratada con sustancias retardantes o ignifugas. RNE E.010 Numeral 11.3.8.
2.6.1	Las edificaciones o techos de estructura de acero no presentan deformaciones o pandeos excesivos y visibles que perjudiquen su estabilidad. Los apoyos, uniones y anclajes son seguros (tienen pernos y soldaduras en buen estado de conservación). RNE E.090.
2.6.2	No presentan deterioro por oxido y/o corrosión y se encuentra protegida contra este. RNE E.090.
3.1.1	El tablero eléctrico de material metálico está conectado a tierra. CNE-U 060.402.1 h
3.1.2	El tablero cuenta con placa de protección (mandil). CNE-U 020.202.1
3.1.3	Las aberturas no usadas en los tableros eléctricos (espacios de reserva) se encuentran cerradas con tapas. CNE-U 070.3026
3.1.4	Todos los circuitos eléctricos tienen protección de interruptores diferenciales. CNE-U 020.132 (RM No.175-2008-MEM)
3.1.5	Los componentes del pozo de puesta a tierra presentan óxido, deterioro del cable de conexión, conector y varilla en mal estado de conservacion. CNE-U 010.010.3
3.1.6	Si cuenta con equipos y/o artefactos eléctricos, (hornos microondas, congeladoras, refrigeradoras, lavadoras, calentadores y similares) los enchufes tienen espiga de puesta a tierra y los tomacorrientes cuentan con conexión al sistema de puesta a tierra. CNE-U 060 512.c
3.1.7	Las carcasas de los motores eléctricos estacionarios, grupos electrógenos y equipos de aire acondicionado están conectados al sistema de puesta a tierra. CNE-U 060.400, 060.402
3.1.8	Las estructuras metálicas de techos, anuncios publicitarios, canaletas y otros, que tienen instalado equipamiento eléctrico y se encuentran al alcance de una persona parada sobre el piso, deben estar conectados al sistema de puesta a tierra. CNE-U 060.002, 060.400
3.1.9	"La carcaza y motor del ascensor, montacargas, escaleras mecánicas y de equipos de elevación eléctrica, deben estar conectados al sistema de puesta a tierra.
CNE-U 200.046, 200.048"
3.1.10	"El ascensor, montacargas, escaleras mecanicas y equipos de elevacion electrica, cuentan con constancia de operatividad y mantenimiento, firmado por ing. mecánico, electricista o mecánico electricista colegiado y habilitado.
CNE-U 010.010.3"
3.1.11	Los conductores eléctricos utilizados se encuentran protegidos con tubos o canaletas de PVC. CNE-U 070.212
3.1.12	Las cajas de paso de conductores eléctricos deben tener tapa. CNE-U 070.3002, 070.3004
3.1.13	La subestación esta protegida con cercos, tabiques o paredes para limitar el acceso de personas no autorizadas. La estructura metálica esta conectada al sistema de puesta a tierra. SUM 110.A.1
3.1.14	"Las estructuras metálicas de soporte y/o los equipos electrónicos, deben estar conectados al sistema de puesta a tierra. 
CNE-U 060.102, 060.106"
3.1.15	"Las máquinas tragamonedas no presentan superficies energizadas y están conectadas al sistema de puesta a tierra.
CNE-U 060.106, 010.010.3"
3.1.16	"Los equipos electromecánicos de gimnasios deben estar conectados al sistema de puesta a tierra.
CNE-U 060.106, 010.010.3"
3.1.17	Los diagramas unifilares, plano(s) de distribución de tableros electricos y cuadro de cargas concuerdan con lo verificado físicamente. RNE GE 020 Art.14, CNE-U 010.008
3.2.1	Las rampas tienen una pendiente no mayor al 12% permitiendo la evacuación, tienen pisos antideslizantes y tienen barandas. RNE A.130, Art. 16
3.2.2	Las aberturas al exterior ubicadas a una altura mayor a 1.00 m sobre el suelo, en tragaluces, escaleras y azotea cuentan con protección al vacío de altura mínima de 1.00m, para evitar  caídas al vacío. RNE NTE 060 Art. 11; RNE A.010 Art. 33
3.2.3	No hay objetos sueltos o mal aseguradoa en los techos, cielorasos, falsocielorasos, como luminarias, ventiladores, equipos, etc, y que pueden que puedan caer sobre una persona.
3.3.1	Las estructuras que soportan las antenas y/o paneles publicitarios son seguras, estables, tienen anclajes y se encuentran en buen estado de conservación, no presentan óxido o corrosión, inclinaciones que podrían desestabilizarlas y ocasionar su colapso. RNE E.090, GE.040 Art. 11 y 12.
3.3.2	Las estructuras metálicas de soporte de productos de almacenamiento (racks) están fijas, asegurando su estabilidad, se encuentran en buen estado de conservación, no presentan óxido o corrosión, inclinaciones que podrían desestabilizarlas y ocasionar su colapso. RNE E.090, GE.040 Art. 11 y 12
3.3.3	Las estructuras de soporte de equipos de aire acondicionado, condensadores y otros, apoyados en la pared y/o techo, están adecuadamente fijadas y en buen estado de conservación, no presentan óxido ni corrosión. Los equipos instalados sobre estas estructuras se encuentran debidamente asegurados. RNE 0.90, GE.040 Art. 11 y 12
3.3.4	En caso de contar con sistema el sistema de extracción de monóxido de carbono en sótano, éste se encuentra operativo y cuenta con constancia de operatividad y mantenimiento. RNE A010 Articulo 69
3.3.5	Los juegos infantiles de carpintería metálica, de madera o plástico, son estables, seguros, están bien instalados y en buen estado de conservación. RNE E.090, E.010, GE.040 Art. 11 y 12
3.3.6	Las puertas, ventanas, mamparas, techos; enchapes de muros con espejos, ubicados en áreas donde existe el riesgo de impacto accidental o de exposición de las personas ante roturas, que son de vidrio, son de vidrio templado o laminado. En caso de ser de vidrios primarios, tienen láminas de seguridad en todo el paño de vidrio u otro sistema de protección en caso de rotura. RNE E.040 Art. 23 y GE.040 Art. 11 y 12.
3.3.7	El(los) tablero(s) eléctrico(s) cuenta(n) con identificación. CNE-U 020.100.1, 020.100.3.1
3.3.8	Tiene directorio de los circuitos, indicando de manera visible y clara la instalación que controla. CNE-U 020.100.1, 020.100.3.1
3.3.9	Existe espacio libre no menor a un metro frente a los tableros eléctricos. CNE-U 020.308
3.3.10	Existe iluminación general y de emergencia en la zona de ubicación de los tableros eléctricos. CNE-U 020.314
3.3.11	Si el establecimiento cuenta con tanque estacionario de  Gas Licuado de Petróleo (GLP) en cantidades superiores a 0.45m3 (118.18gl) y/o liquido combustible y sus derivados en cantidades a partir de 1m3 (264.17gl), llamado Consumidor Directo, debe tener constancia de registro de hidrocarburos emitido por  OSINERGMIN. NTP 321.121
3.3.12	"En caso de tener caldero: Mostrar el libro del servicio del caldero visado por el Ministerio de Trabajo, el mismo que debe estar actualizado a  la fecha.
El nivel del agua del caldero debe encontrarse dentro del rango de mínimo y máximo. La presión de trabajo debe ser menor a la presión indicada por el fabricante. El caldero debe contar con valvula de seguridad, presostato y manómetro.
Para el caso del caldero que se encuentre en una ruta de evacuación debe estar cercado con muros de resistencia al fuego. De utilizar combustible GLP o GN no se permite su instalación en sótano. DS No. 042-F"
3.3.13	El caldero se encuentra en buen estado de conservación y mantenimiento. DS No. 042-F 
3.3.14	El caldero se encuentra operado por un personal calificado que cuenta con constancia de capacitación actualizada emitido por profesional o empresa especializada. DS No. 042-F
3.3.15	"Para edificaciones con giro de explosivos, artefactos pirotécnicos y otros afines:
Cuenta con sistemas a prueba de explosión, si corresponde. Ley No. 30299 y su Reglamento Decreto Supremo No. 010-2017-IN"
S/N	Otras observaciones
